                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.688,                 3.3656,                 1.7913,                 1.5049,                 7.7385,                  1.634,                 0.0041,                0.86143,                0.15736,                0.08442,                 1.4817,                 3.8482,                 1.5938,                 1.3122,                 10.912,                 1.4143,             0.00043342,             0.00043342,             0.00043342
                      2,                 1.4619,                 2.1943,                   1.49,                  1.346,                 5.7449,                 1.3795,                0.01531,                0.09032,                0.01268,                0.00486,                  2.807,                 6.5143,                 2.9424,                 2.7154,                 12.099,                 2.6034,             0.00084852,             0.00084852,             0.00084852
                      3,                 1.4564,                 1.9597,                 1.4927,                 1.4177,                 4.6809,                 1.4283,                0.70729,                0.09355,                0.09572,                  0.039,                 2.4197,                 3.8701,                 2.8222,                 2.3685,                 9.9933,                 2.6826,               0.001228,               0.001228,               0.001228
                      4,                 1.4589,                 1.8522,                 1.5193,                 1.4553,                 4.0249,                 1.4578,                0.37738,                0.25638,                0.28032,                0.10931,                 2.0357,                 2.9703,                  2.388,                 1.9516,                 7.2981,                 1.9853,               0.001469,               0.001469,               0.001469
                      5,                 1.4649,                 1.7588,                 1.5193,                 1.4456,                 3.3235,                 1.4618,                0.28893,                0.20096,                0.18331,                0.08265,                 2.1583,                   6.86,                 2.3731,                 1.8547,                 6.0702,                 2.0937,               0.001469,               0.001469,               0.001469
                      6,                 1.4256,                 1.5753,                 1.5054,                 1.4374,                 2.6999,                 1.4653,                0.59754,                0.37069,                0.38033,                0.16331,                 2.0589,                 4.8725,                 2.6968,                 1.9763,                 4.8969,                 2.2391,              0.0014029,              0.0014029,              0.0014029
                      7,                 1.4081,                 1.4572,                 1.4911,                 1.4289,                 2.2446,                 1.4392,                0.50607,                0.43759,                0.43391,                   0.18,                 1.8122,                 2.6432,                 2.0202,                 1.8909,                 3.9009,                 2.0318,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.3881,                  1.368,                 1.4612,                 1.4387,                 1.9803,                 1.4419,                0.65605,                0.50187,                0.56386,                0.30108,                 1.4805,                 1.9298,                 1.6022,                 1.5407,                 2.5808,                 1.6331,              0.0012709,              0.0012709,              0.0012709
                      9,                 1.3627,                 1.2977,                 1.4263,                 1.4261,                  1.791,                 1.4093,                0.44294,                0.52645,                 0.3609,                0.20445,                  1.568,                 2.2436,                 1.7357,                 1.5423,                 2.5823,                 1.7024,              0.0012049,              0.0012049,              0.0012049
                     10,                 1.3435,                 1.2091,                 1.4079,                 1.4106,                 1.6249,                 1.4008,                0.63261,                0.61164,                0.59305,                0.32575,                 1.4623,                 1.3229,                 1.5711,                 1.4946,                 1.8619,                 1.5227,              0.0011389,              0.0011389,              0.0011389
                     11,                 1.3205,                 1.1903,                 1.3991,                 1.3667,                 1.5695,                 1.3766,                0.67834,                0.66285,                 0.7177,                0.40519,                 1.4719,                 1.1734,                 1.6402,                  1.513,                 1.5097,                 1.6436,              0.0010729,              0.0010729,              0.0010729
                     12,                 1.3027,                 1.1238,                 1.4018,                  1.355,                 1.4728,                 1.3915,                 0.7973,                0.56171,                0.71505,                 0.4368,                 1.4362,                 1.1844,                  1.566,                 1.4688,                 1.5413,                  1.533,              0.0010069,              0.0010069,              0.0010069
                     13,                 1.2929,                  1.085,                 1.3919,                 1.3514,                 1.3958,                 1.3815,                 0.7463,                0.70302,                0.73989,                  0.427,                 1.4444,                 1.0769,                 1.5626,                 1.5305,                  1.324,                 1.6063,             0.00094085,             0.00094085,             0.00094085
                     14,                 1.2606,                  1.065,                 1.3653,                 1.3164,                  1.346,                 1.3538,                0.74834,                0.73665,                 0.7519,                0.39987,                 1.5177,                 1.1014,                 1.6521,                 1.5661,                 1.3117,                 1.6088,             0.00087484,             0.00087484,             0.00087484
                     15,                 1.2548,                 1.0192,                 1.3547,                 1.3054,                 1.2839,                 1.3349,                0.89303,                0.72084,                0.82416,                 0.4616,                  1.428,                0.94751,                 1.5422,                 1.4468,                 1.0845,                   1.51,             0.00080883,             0.00080883,             0.00080883
